Division,Conference,Season,Top_N,Event,Gender,#,Athlete,Year,Team,Mark,Conv,Meet,Meet Date,Wind
NCAA Div. III,SCIAC,SCIAC Outdoor Performance List (2025),Top 20,Long Jump,Women,1,"Adams, Maigan",SR-4,Redlands,5.64m,"18' 6""",SCIAC T&F Championships,4/26/25,0
NCAA Div. III,SCIAC,SCIAC Outdoor Performance List (2025),Top 20,Long Jump,Women,2,"Eichinger, Elisabeth",JR-3,Redlands,5.57m,"18' 3.25""",Redlands Final Qualifier,5/14/25,1.7
NCAA Div. III,SCIAC,SCIAC Outdoor Performance List (2025),Top 20,Long Jump,Women,3,"Bowers, Ella",JR-3,Pomona-Pitzer,5.55m,"18' 2.5""",SCIAC Sun Meet - Quad Cup #2,3/29/25,2.1
NCAA Div. III,SCIAC,SCIAC Outdoor Performance List (2025),Top 20,Long Jump,Women,4,"Bachmeier, Eleanor",SR-4,Redlands,5.53m,"18' 1.75""",Redlands Final Qualifier (Club/Individual),5/14/25,1.1
NCAA Div. III,SCIAC,SCIAC Outdoor Performance List (2025),Top 20,Long Jump,Women,5,"Gray, Lindsey",JR-3,Chapman,5.44m,"17' 10.25""",SCIAC Sun Meet - Quad Cup #2,3/29/25,1.9
NCAA Div. III,SCIAC,SCIAC Outdoor Performance List (2025),Top 20,Long Jump,Women,6,"Ortega, Gennessy",FR-1,La Verne,5.38m,"17' 8""",ULV Leopard Invitational,4/17/25,1
NCAA Div. III,SCIAC,SCIAC Outdoor Performance List (2025),Top 20,Long Jump,Women,7,"Seifert, Madeline",JR-3,Claremont-Mudd-Scripps,5.37m,"17' 7.5""",SCIAC T&F Championships,4/26/25,0
NCAA Div. III,SCIAC,SCIAC Outdoor Performance List (2025),Top 20,Long Jump,Women,8,"Akinde, Felicia",SO-2,Pomona-Pitzer,5.27m,"17' 3.5""",2025 Pomona-Pitzer T&F Invite,4/12/25,0.9
NCAA Div. III,SCIAC,SCIAC Outdoor Performance List (2025),Top 20,Long Jump,Women,9,"Wiley, Christen",SR-4,Redlands,5.24m,"17' 2.25""",SCIAC T&F Championships,4/26/25,1.6
NCAA Div. III,SCIAC,SCIAC Outdoor Performance List (2025),Top 20,Long Jump,Women,10,"Chi, Ellie",FR-1,Pomona-Pitzer,5.13m,"16' 10""",2025 Pomona-Pitzer T&F Invite,4/12/25,0
NCAA Div. III,SCIAC,SCIAC Outdoor Performance List (2025),Top 20,Long Jump,Women,11,"Jones, Niani",SO-2,Cal Lutheran,5.11m,"16' 9.25""",2025 Pomona-Pitzer T&F Invite,4/12/25,1.6
NCAA Div. III,SCIAC,SCIAC Outdoor Performance List (2025),Top 20,Long Jump,Women,11,"Heron, Shaylee",SO-2,Redlands,5.11m,"16' 9.25""",SCIAC Sun Meet - Quad Cup #2,3/29/25,1.3
