Division,Conference,Season,Top_N,Event,Gender,#,Athlete,Year,Team,Mark,Conv,Meet,Meet Date,Wind
NCAA Div. I,ACC,ACC Outdoor Performance List (2025),Top 20,Long Jump,Women,1,"Jones, Alyssa",JR-3,Stanford,6.81m,"22' 4.25""",Stanford Invitational,4/4/25,1.6
NCAA Div. I,ACC,ACC Outdoor Performance List (2025),Top 20,Long Jump,Women,2,"Savage, Synclair",SR-4,Louisville,6.64m,"21' 9.5""",NCAA Division I East First Round,5/28/25,1
NCAA Div. I,ACC,ACC Outdoor Performance List (2025),Top 20,Long Jump,Women,3,"Hunt, Mariama",FR-1,NC State,6.43m,"21' 1.25""",Virginia Challenge,4/18/25,4.6
NCAA Div. I,ACC,ACC Outdoor Performance List (2025),Top 20,Long Jump,Women,4,"Zwaanstra, Teagan",SR-4,Stanford,6.26m,"20' 6.5""",ACC Outdoor Track & Field Championships,5/15/25,1.6
NCAA Div. I,ACC,ACC Outdoor Performance List (2025),Top 20,Long Jump,Women,5,"Day, Sophia",SO-2,Louisville,6.22m,"20' 5""",Jim Freeman / Clark Wood Open 2025,4/25/25,2.3
NCAA Div. I,ACC,ACC Outdoor Performance List (2025),Top 20,Long Jump,Women,5,"Wilson, Ameia",SR-4,Georgia Tech,6.22m,"20' 5""",Georgia Tech Invitational,4/18/25,0.4
NCAA Div. I,ACC,ACC Outdoor Performance List (2025),Top 20,Long Jump,Women,7,"Atkinson, Asjah",SR-4,California,6.20m,"20' 4.25""",Stanford Invitational,4/4/25,0.7
NCAA Div. I,ACC,ACC Outdoor Performance List (2025),Top 20,Long Jump,Women,8,"Jones, Azharia",FR-1,Florida State,6.19m,"20' 3.75""",Terry Long FSU Relays,3/27/25,0.1
NCAA Div. I,ACC,ACC Outdoor Performance List (2025),Top 20,Long Jump,Women,9,"O'Brien, Jadin",SR-4,Notre Dame,6.16m,"20' 2.5""",ACC Outdoor Track & Field Championships,5/15/25,-0.2
NCAA Div. I,ACC,ACC Outdoor Performance List (2025),Top 20,Long Jump,Women,10,"Foreman, Shantae",JR-3,Clemson,6.12m,"20' 1""",Tom Jones Invitational,4/18/25,0.2
NCAA Div. I,ACC,ACC Outdoor Performance List (2025),Top 20,Long Jump,Women,11,"Oakes, Alaysia",JR-3,Stanford,6.04m,"19' 9.75""",Stanford Invitational,4/4/25,1.5
NCAA Div. I,ACC,ACC Outdoor Performance List (2025),Top 20,Long Jump,Women,12,"Panenko, Anna",FR-1,Louisville,6.02m,"19' 9""",Jim Freeman / Clark Wood Open 2025,4/25/25,3.2
NCAA Div. I,ACC,ACC Outdoor Performance List (2025),Top 20,Long Jump,Women,13,"Brady, Alaina",SR-4,Notre Dame,6.00m,"19' 8.25""",Gary Wieneke Memorial,5/2/25,0.8
NCAA Div. I,ACC,ACC Outdoor Performance List (2025),Top 20,Long Jump,Women,13,"Stapleton, Tia",SO-2,Clemson,6.00m,"19' 8.25""",Duke Twilight,5/4/25,1
NCAA Div. I,ACC,ACC Outdoor Performance List (2025),Top 20,Long Jump,Women,15,"Micic, Jovana",FR-1,Miami (Fla.),5.93m,"19' 5.5""",Hurricane Invitational,3/21/25,2.2
NCAA Div. I,ACC,ACC Outdoor Performance List (2025),Top 20,Long Jump,Women,16,"Fisher, Elyssia",SO-2,NC State,5.92m,"19' 5.25""",Raleigh Relays,3/27/25,1.1
NCAA Div. I,ACC,ACC Outdoor Performance List (2025),Top 20,Long Jump,Women,17,"Hamachi, Yuki",SR-4,California,5.91m,"19' 4.75""",ACC Outdoor Track & Field Championships,5/15/25,0.7
NCAA Div. I,ACC,ACC Outdoor Performance List (2025),Top 20,Long Jump,Women,18,"Guerrero, Arianna",SO-2,Stanford,5.90m,"19' 4.25""",Payton Jordan Invitational,4/25/25,0.5
NCAA Div. I,ACC,ACC Outdoor Performance List (2025),Top 20,Long Jump,Women,19,"Soremi, Oluwadara",FR-1,Florida State,5.89m,"19' 4""",East Coast Relays,5/2/25,2.6
NCAA Div. I,ACC,ACC Outdoor Performance List (2025),Top 20,Long Jump,Women,20,"Anderson, Torre",JR-3,California,5.88m,"19' 3.5""",Sacramento State Hornet Invite,3/21/25,1.8
NCAA Div. I,ACC,ACC Outdoor Performance List (2025),Top 20,Long Jump,Women,20,"Jirak, Valerie",FR-1,Duke,5.88m,"19' 3.5""",ACC Outdoor Track & Field Championships,5/15/25,1
